scenario,pv_kwp,capacity,base_capacity,d_capacity,d_npv,d_savings,d_import
east-west,0.0,2.5,2.5,0.0,0.0,0.0,0.0
east-west,3.0,5.0,7.5,-2.5,-483.0397533333627,-113.45558373858296,509.09784142944727
east-west,6.0,7.5,10.0,-2.5,-755.0323073320262,-134.2635721401789,536.4960864730879
east-west,9.0,10.0,12.5,-2.5,-804.3341302962076,-138.0352627446992,459.54346605418027
east-west,12.0,10.0,15.0,-5.0,-780.041716788854,-212.67889487584932,538.7493568341183
low-mileage,0.0,2.5,2.5,0.0,0.00017879599468528795,1.36782604158725e-5,-1413.0434782608709
low-mileage,3.0,7.5,7.5,0.0,111.7347279971134,8.547935927065282,-1395.8165624324797
low-mileage,6.0,10.0,10.0,0.0,10.314105799662684,0.7890502541230262,-1177.8084251885516
low-mileage,9.0,10.0,12.5,-2.5,-173.66671666365937,-89.78791172274771,-781.4726874061469
low-mileage,12.0,12.5,15.0,-2.5,-263.2357323408987,-96.64012518210404,-656.1192030165973
high-mileage,0.0,2.5,2.5,0.0,-0.00017879600497394676,-1.3678261211680365e-5,2826.086956521739
high-mileage,3.0,7.5,7.5,0.0,3.9444160487178124,0.30175592010209584,2818.329149137792
high-mileage,6.0,10.0,10.0,0.0,-237.84019447885385,-18.195262831252535,2682.0750091803143
high-mileage,9.0,15.0,12.5,2.5,-50.444300242202644,72.6429591426488,2196.669328828182
high-mileage,12.0,20.0,15.0,5.0,275.8748856354737,174.10909794250938,1687.4172132693266
slow-charger,0.0,2.5,2.5,0.0,0.00017879599917591804,1.3678260756933014e-5,-5.4569682106375694e-12
slow-charger,3.0,7.5,7.5,0.0,-2.192139590459192,-0.16770317606994922,-15.128051016121844
slow-charger,6.0,10.0,10.0,0.0,43.31162935583143,3.313428503983232,-33.47546966834261
slow-charger,9.0,15.0,12.5,2.5,185.66461921967857,90.70577588321419,-229.25574826643629
slow-charger,12.0,15.0,15.0,0.0,291.80345187593684,22.32356273330197,-48.563306508945516
small-connection,0.0,2.5,2.5,0.0,-10.575262468834353,-0.8090292751044217,-0.6123957567397156
small-connection,3.0,7.5,7.5,0.0,-32.111365806161075,-2.4565853639408033,-11.608654660888988
small-connection,6.0,10.0,10.0,0.0,5.402632543419259,0.41331247362791146,-24.16604987022265
small-connection,9.0,12.5,12.5,0.0,-16.838848722483363,-1.2882064739000043,-24.06798949080394
small-connection,12.0,15.0,15.0,0.0,-20.551920018420788,-1.5722640457868238,-27.31614429844103
lossy,0.0,2.5,2.5,0.0,-298.3404271092285,-22.82365474992571,274.63022514862587
lossy,3.0,5.0,7.5,-2.5,-437.8497223286997,-109.99845365472993,571.8948750839168
lossy,6.0,7.5,10.0,-2.5,-634.6189540611651,-125.05170357457962,585.2121360208621
lossy,9.0,12.5,12.5,0.0,-761.5738189141189,-58.26195959394545,324.2247179759613
lossy,12.0,12.5,15.0,-2.5,-813.1299752990258,-138.70816293299538,454.2036520391041
efficient,0.0,2.5,2.5,0.0,182.60481727384735,13.969643154012374,-120.88708657272218
efficient,3.0,7.5,7.5,0.0,292.32083513836096,22.363143614342334,-142.88031584616465
efficient,6.0,10.0,10.0,0.0,333.6327662381591,25.523591099152327,-132.66366632189465
efficient,9.0,15.0,12.5,2.5,434.5458537986524,109.74570093395528,-291.1241411563608
efficient,12.0,15.0,15.0,0.0,444.95266265356486,34.039791559147375,-107.17359508681056
mid-mileage,0.0,2.5,2.5,0.0,-0.0003575920014213807,-2.7356521741239703e-5,1413.0434782608709
mid-mileage,3.0,7.5,7.5,0.0,0.7207907635481661,0.055141972187811916,1406.8464849920615
mid-mileage,6.0,10.0,10.0,0.0,-127.8769532624483,-9.782849277298737,1295.5310703294067
mid-mileage,9.0,15.0,12.5,2.5,40.005841764752404,79.56258057394973,951.0307934820846
mid-mileage,12.0,20.0,15.0,5.0,195.05672172388222,167.92634259649742,594.4494363285421
slow-charger+small-connection,0.0,2.5,2.5,0.0,0.00017879600224546266,1.367826098430669e-5,-6.366462912410498e-12
slow-charger+small-connection,3.0,7.5,7.5,0.0,0.08541278236248218,0.0065342530838279345,-15.886944177191253
slow-charger+small-connection,6.0,10.0,10.0,0.0,50.96090885971171,3.8986140793136883,-35.3085450607623
slow-charger+small-connection,9.0,12.5,12.5,0.0,180.2992471574239,13.793262309991746,-47.008242957021594
slow-charger+small-connection,12.0,15.0,15.0,0.0,280.59961538737434,21.466446256104064,-53.04746000649402
high-mileage+slow-charger,0.0,2.5,2.5,0.0,-5.501415603248461e-5,-4.208695827401243e-6,2826.086956521728
high-mileage+slow-charger,3.0,7.5,7.5,0.0,25.995536895028863,1.9887119049872126,2793.867441004019
high-mileage+slow-charger,6.0,10.0,10.0,0.0,-158.4678510603144,-12.1231157192085,2637.989753731367
high-mileage+slow-charger,9.0,15.0,12.5,2.5,118.47176480200733,85.56538466721088,2128.4357049725113
high-mileage+slow-charger,12.0,20.0,15.0,5.0,592.0910129892786,198.3002804349826,1589.0417071592778
high-mileage+small-connection,0.0,2.5,2.5,0.0,-54.6097167351289,-4.177755367687723,2823.7497871613496
high-mileage+small-connection,3.0,5.0,7.5,-2.5,-87.41072748806391,-83.18915158778168,3052.093176368556
high-mileage+small-connection,6.0,10.0,10.0,0.0,-294.53053661666536,-22.53219031086246,2639.6661656693545
high-mileage+small-connection,9.0,12.5,12.5,0.0,-108.84474084527847,-8.326845980844041,2407.4726856625075
high-mileage+small-connection,12.0,20.0,15.0,5.0,195.60569608897958,167.96834026170472,1612.973627569986
east-west+small-connection,0.0,2.5,2.5,0.0,-10.575262468834353,-0.8090292751044217,-0.6123957567397156
east-west+small-connection,3.0,5.0,7.5,-2.5,-505.45553207703654,-115.17043680074948,502.3078436489518
east-west+small-connection,6.0,7.5,10.0,-2.5,-777.2321598842645,-135.96190640570586,518.5407014885463
east-west+small-connection,9.0,10.0,12.5,-2.5,-825.3535423985925,-139.6432908940174,437.28767023367413
east-west+small-connection,12.0,10.0,15.0,-5.0,-794.2804145696368,-213.7681844682321,518.3952428580421
lossy+high-mileage,0.0,2.5,2.5,0.0,-298.3403898937744,-22.82365190286714,3333.4537545603916
lossy+high-mileage,3.0,5.0,7.5,-2.5,-432.147848738585,-109.5622486271061,3623.6500502126287
lossy+high-mileage,6.0,7.5,10.0,-2.5,-843.9305121613356,-141.06446719343126,3517.097595553462
lossy+high-mileage,9.0,10.0,12.5,-2.5,-870.1013091096675,-143.06658685206025,3289.8406251792285
lossy+high-mileage,12.0,15.0,15.0,0.0,-786.47141951599,-60.16667711997684,2792.0993272524465
net-metering,0.0,30.0,2.5,27.5,4311.825053869191,1171.386030404872,9790.994249153733
net-metering,3.0,30.0,7.5,22.5,2686.2091257544844,894.0189735801353,10769.986954041327
net-metering,6.0,30.0,10.0,20.0,3081.761968006812,847.7775259269285,10954.586250961078
net-metering,9.0,30.0,12.5,17.5,2283.9798199376874,710.2435032646666,10761.791252161796
net-metering,12.0,30.0,15.0,15.0,1560.1833326151714,578.3695354387124,10331.29553149364
tou-transport,0.0,5.0,2.5,2.5,411.4658695531846,107.98003478821556,94.98302054003034
tou-transport,3.0,7.5,7.5,0.0,745.1282911352607,57.003842979171225,-28.711163205432968
tou-transport,6.0,10.0,10.0,0.0,831.9563519374829,63.64636776723796,-56.72006683047812
tou-transport,9.0,15.0,12.5,2.5,912.1641965560857,146.2844840380509,-267.8364322862469
tou-transport,12.0,15.0,15.0,0.0,910.0206759605362,69.61844871199094,-97.89698461482317
net-metering+tou-transport,0.0,30.0,2.5,27.5,2794.177410057587,1055.282872043057,11047.677078456978
net-metering+tou-transport,3.0,30.0,7.5,22.5,1248.2683734947511,784.013555948924,12024.207380102524
net-metering+tou-transport,6.0,30.0,10.0,20.0,1751.078714716772,745.977527016689,12189.286761758674
net-metering+tou-transport,9.0,30.0,12.5,17.5,1292.8346085580324,634.418861157785,11971.147960221702
net-metering+tou-transport,12.0,30.0,15.0,15.0,677.0175704492058,510.8055427276237,11512.63158899005
flat-tariff,0.0,2.5,2.5,0.0,-1215.5461763171725,-92.99177630626014,-80.54245878305028
