name,scenario,pv_kwp,battery_kwh,battery_kw,orientation,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,demand_kwh,demand_from_solar_share,demand_from_grid_share,demand_from_battery_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
base|pv=00.0|bat=02.5,base,0.0,2.5,1.25,south,10.0,12.0,17.25,0.95,0.92,1245.5651978388898,6418.60414356566,5.87797657342651,0.0,0.0,3500.0,2839.1304347826103,765.7895611243459,692.1938289147223,14.319897129267877,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8039097564739139,0.19609024352608606,0.0,1.0,6339.130434782604,0.0,0.8917334389310708,0.10826656106892929,NaN,0.1960902435260845,1400.0,93.2490135632072,-181.09133533699222,-0.017626326805879042,Inf,15.0,276.87753156588894
base|pv=03.0|bat=07.5,base,3.0,7.5,3.75,south,10.0,12.0,17.25,0.95,0.92,557.3344809379497,3733.9716268674897,738.7412162910681,3591.9103823688893,42.44337023545712,3500.0,2839.13043478261,2141.2639787409607,1935.696990813717,16.1447749986061,3.806125615661524,0.011816377837206904,0.26161655541175916,0.16137332720877326,0.5037679868553739,0.06142575268688712,0.07771245593996357,0.8646873421484887,0.057600201911547695,0.2684866347380239,0.27063913164353326,0.46087423361844276,0.8450566956040851,0.1549433043959149,6339.1304347826135,0.18304387839019567,0.5366977609026117,0.28025836070719257,0.8373286186685583,0.7335378155924105,3400.0,372.0242946574226,1462.9322595000324,0.05121452320265342,9.991398389528017,15.0,258.09293210849563
base|pv=06.0|bat=10.0,base,6.0,10.0,5.0,south,10.0,12.0,17.25,0.95,0.92,115.30992406743422,2626.0544872755486,3075.0261432003754,7183.8207647377785,105.20264334334388,3500.0,2839.13043478261,3023.497750635871,2732.9817199488734,17.249999999999993,5.936801605213233,0.01464438587606994,0.1485945063393572,0.36386685524616663,0.3960902903946976,0.07680396214370958,0.19433622749507892,0.6501490354171123,0.15551473708780872,0.3049932286190387,0.17204013596881315,0.5229666354121482,0.9411092342469985,0.058890765753001444,6339.130434782602,0.2554328570594051,0.3861725854473725,0.3583945574932224,0.6320801259815897,0.8304991087441244,4400.0,518.6908764944098,2380.0910645787762,0.06312323993295359,9.204237595850238,15.0,273.29817199488735
base|pv=09.0|bat=12.5,base,9.0,12.5,6.25,south,10.0,12.0,17.25,0.95,0.92,-279.6862485956408,1951.1294337238153,5841.611574580216,10775.731147106668,173.26467304428058,3500.0,2839.1304347826094,3878.9502402397557,3506.096341816379,17.25,9.37524577521903,0.016079157013007227,0.10389824249152874,0.4667504834903359,0.3466423393485835,0.06662977765654485,0.2528888992285409,0.48203248652007924,0.26507861425138,0.3198798650701737,0.12541449813583072,0.5547056367939955,0.9629730781990041,0.03702692180099587,6339.130434782606,0.28987636665139027,0.28513435164400236,0.4249892817046075,0.5272723790931133,0.8758355605413627,5400.0,632.5599322515806,2868.5355359546593,0.06209284260473448,9.268820653936473,15.0,280.48770734531035
base|pv=12.0|bat=15.0,base,12.0,15.0,7.5,south,10.0,12.0,17.25,0.95,0.92,-651.0249943732325,1528.428043668163,8849.806170944968,14367.641529475557,256.289794654629,3500.0,2839.130434782609,4689.801771912951,4238.958599151439,17.25,11.99964724380634,0.017837986431443492,0.08009312695587611,0.5257694355462325,0.3170133180509019,0.05928613301554746,0.3000221111367904,0.37180036859514415,0.3281775202680655,0.3287855248790864,0.09650578383951737,0.5747086912813962,0.9711996232128826,0.02880037678711749,6339.130434782613,0.3159031454732433,0.21980301555791526,0.4642938389688415,0.4666166733387624,0.9042332957014506,6400.0,726.8159469355913,3100.6072609501057,0.0570967986949068,9.591208330076748,15.0,282.59723994342926
east-west|pv=00.0|bat=02.5,east-west,0.0,2.5,1.25,east_west,10.0,12.0,17.25,0.95,0.92,1245.5651978388898,6418.60414356566,5.87797657342651,0.0,0.0,3500.0,2839.1304347826103,765.7895611243459,692.1938289147223,14.319897129267877,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8039097564739139,0.19609024352608606,0.0,1.0,6339.130434782604,0.0,0.8917334389310708,0.10826656106892929,NaN,0.1960902435260845,1400.0,93.2490135632072,-181.09133533699222,-0.017626326805879042,Inf,15.0,276.87753156588894
east-west|pv=03.0|bat=05.0,east-west,3.0,5.0,2.5,east_west,10.0,12.0,17.25,0.95,0.92,719.9720255357872,4243.069468296937,497.52410502640805,2761.680907227281,27.999911445606536,3500.0,2839.1304347826103,1458.8043514830056,1318.7084272134123,14.894774998606088,2.5278174555625563,0.010138720723430123,0.3576273794018279,0.1626974562252405,0.4072744453400259,0.06226199830947558,0.06056353377447467,0.9276805486897841,0.011755917535741055,0.2821864873130728,0.36434888484858985,0.35346462783833743,0.7710163865042692,0.22898361349573074,6339.130434782619,0.18292737300531914,0.6166503776389193,0.2004222493557615,0.8363728688496324,0.6406199722917705,2400.0,258.56871091883966,979.8925061666697,0.04879926946587483,10.165843060548942,15.0,263.74168544268247
east-west|pv=06.0|bat=07.5,east-west,6.0,7.5,3.75,east_west,10.0,12.0,17.25,0.95,0.92,336.98069774890223,3162.5505737486365,2065.6951311901785,5523.361814454562,68.85160520258984,3500.0,2839.13043478261,2209.6560720801963,1997.4208550523772,16.1447749986061,4.876216710313045,0.012465525076124135,0.20231899053156002,0.3304089833151156,0.35630066851176956,0.09850583256543022,0.19163732226857405,0.733053311870311,0.07530936586111495,0.3192802818974324,0.23989658301194236,0.44082313509062526,0.8906261620478647,0.10937383795213519,6339.130434782608,0.2621123445602276,0.460768561026013,0.2771190944137594,0.6681199235408459,0.763049876383625,3400.0,384.42730435423096,1625.05875724675,0.05639526069534548,9.637738513156872,15.0,266.3227806736503
east-west|pv=09.0|bat=10.0,east-west,9.0,10.0,5.0,east_west,10.0,12.0,17.25,0.95,0.92,-11.534415090797324,2410.6728997779956,3960.2879170576716,8285.04272168184,110.86852991210971,3500.0,2839.1304347826094,2971.3204072558565,2685.89166754841,17.25,6.99497413865752,0.01338176924808949,0.14116927467093768,0.4107017811591035,0.3369402649620085,0.0978069099598615,0.2854164139715507,0.5636516606826457,0.15093192534580352,0.33416956332501574,0.18018182797923493,0.4856486086957494,0.9395030179337593,0.060496982066240663,6339.1304347826135,0.31233430507548715,0.3519279190322713,0.3357377758922415,0.587443519013218,0.8211777208761107,4400.0,494.52466950688137,2064.2014056584517,0.05544258403447026,9.701436217261282,15.0,268.589166754841
east-west|pv=12.0|bat=10.0,east-west,12.0,10.0,5.0,east_west,10.0,12.0,17.25,0.95,0.92,-263.3138462582096,2067.177400502281,6294.558878079191,11046.723628909123,178.08976335948486,3500.0,2839.1304347826094,3142.5328532319654,2840.4109000418484,17.22669881379932,7.7751775423257365,0.016121500758236262,0.10935493253547685,0.5099334550007623,0.27313069466633505,0.09145941703919139,0.3558578679286535,0.5057532609345368,0.1383888711368097,0.345146776336404,0.14455553434613855,0.5102976893174574,0.9601170264450535,0.03988297355494659,6339.13043478261,0.3499439936270342,0.3063265326055513,0.34372947376741436,0.48541196999112707,0.856219897518889,4400.0,514.137052059742,2320.5655441612516,0.06168825134664695,9.294354604276041,15.0,284.04109000418487
